old_Signal 	 filtered_Signal
3.115622 	 16.260199
6.078451 	 16.331993
8.750499 	 16.543528
11.021942 	 16.883451
12.821722 	 17.334080
14.124347 	 17.873104
14.952246 	 18.475752
15.373420 	 19.117193
15.494640 	 19.774931
15.450850 	 20.430962
15.391811 	 21.073494
15.467301 	 21.698057
15.812308 	 22.307867
16.533680 	 22.913464
17.699520 	 23.531601
19.332396 	 24.183535
21.406979 	 24.892857
23.852404 	 25.683104
26.559072 	 26.575363
29.389252 	 27.586107
32.190426 	 28.725481
34.810116 	 29.840405
37.110668 	 30.933176
38.982628 	 32.005470
40.355331 	 33.057987
41.203712 	 34.090302
41.550636 	 35.100780
41.464588 	 36.086666
41.052837 	 37.044239
40.450855 	 37.969086
39.808949 	 38.856468
39.277473 	 39.701668
38.992016 	 40.500381
39.060051 	 41.249084
39.550320 	 41.945267
40.486061 	 42.587635
41.842636 	 43.176167
43.549885 	 43.712044
45.498936 	 44.197475
47.552807 	 44.635460
49.559753 	 45.029392
51.368069 	 45.382725
52.840912 	 45.698566
53.869637 	 45.979359
54.384415 	 46.226582
54.361019 	 46.239040
53.823193 	 46.225067
52.840275 	 46.195034
51.520428 	 46.156532
50.000015 	 46.315186
48.430260 	 46.461987
46.962425 	 46.580830
45.733025 	 46.653896
44.850460 	 46.663383
44.384418 	 46.593277
44.359077 	 46.430916
44.750748 	 46.168274
45.490223 	 45.802731
46.469585 	 45.337402
47.552811 	 44.780834
48.589111 	 44.146229
49.427742 	 43.450153
49.932812 	 42.711010
49.996639 	 41.947250
49.550335 	 41.689247
48.570633 	 41.005623
47.082211 	 40.293346
45.155354 	 39.551346
42.899147 	 38.777618
40.450886 	 37.969460
37.962704 	 37.123833
35.586769 	 36.237724
33.460499 	 35.308556
31.693172 	 34.334499
30.355356 	 33.314747
29.472084 	 32.249699
29.020512 	 31.141010
28.932272 	 29.991545
29.100264 	 28.805182
29.389257 	 27.586555
29.649250 	 26.340702
29.730267 	 25.072697
29.497164 	 23.787241
28.842981 	 22.488359
27.699551 	 21.179094
26.044281 	 19.861343
23.902523 	 18.535803
21.345203 	 17.202019
18.482037 	 15.858562
15.450907 	 14.503284
12.404527 	 13.133697
9.495622 	 11.747310
6.862124 	 10.342030
4.613823 	 8.916498
2.821754 	 7.470356
1.511401 	 6.004425
0.660344 	 4.520757
0.200606 	 3.022581
0.025455 	 1.514122
0.000000 	 0.000332
-0.025451 	 -1.513458
-0.200593 	 -3.021917
-0.660317 	 -4.520096
-1.511356 	 -6.003766
-2.821689 	 -7.469702
-4.613739 	 -8.915848
-6.862022 	 -10.341384
-9.495505 	 -11.746669
-12.404402 	 -13.133061
-15.450780 	 -14.481138
-18.481913 	 -15.772786
-21.345091 	 -17.032087
-23.902424 	 -18.285816
-26.044203 	 -19.542971
-27.699492 	 -20.810446
-28.842945 	 -22.092228
-29.497145 	 -23.388876
-29.730265 	 -24.697348
-29.649260 	 -26.011173
-29.389271 	 -27.320961
-29.100273 	 -28.615215
-28.932274 	 -29.881327
-29.020502 	 -31.106714
-29.472055 	 -32.279930
-30.355310 	 -33.391689
-31.693108 	 -34.435646
-33.460415 	 -35.408947
-35.586674 	 -36.312401
-37.962601 	 -37.123428
-40.450783 	 -37.969078
-42.899048 	 -38.777256
-45.155266 	 -39.551003
-47.082138 	 -40.293018
-48.570583 	 -41.005310
-49.550304 	 -41.688946
-49.996632 	 -42.343857
-49.932823 	 -42.968796
-49.427769 	 -43.561371
-48.589149 	 -44.118259
-47.552856 	 -44.635448
-46.469631 	 -45.108582
-45.490257 	 -45.533363
-44.750771 	 -45.905910
-44.359085 	 -46.223103
-44.384411 	 -46.482872
-44.850433 	 -46.684353
-45.732979 	 -46.827946
-46.962368 	 -46.915283
-48.430195 	 -46.949024
-49.999950 	 -46.932594
-51.520367 	 -46.869846
-52.840225 	 -46.764679
-53.823158 	 -46.620663
-54.361008 	 -46.440685
-54.384426 	 -46.226681
-53.869671 	 -45.979477
-52.840965 	 -45.698704
-51.368137 	 -45.382885
-49.559834 	 -45.029572
-47.552895 	 -44.635658
-45.499020 	 -44.197701
-43.549961 	 -43.712288
-41.842697 	 -43.176430
-40.486111 	 -42.587921
-39.550350 	 -41.945572
-39.060062 	 -41.249405
-38.992012 	 -40.500721
-39.277454 	 -39.702026
-39.808922 	 -38.856842
-40.450829 	 -37.969482
-41.052818 	 -37.044647
-41.464581 	 -36.087090
-41.550644 	 -35.101223
-41.203735 	 -33.967236
-40.355381 	 -32.795151
-38.982697 	 -31.598860
-37.110756 	 -30.515202
-34.810219 	 -29.448454
-32.190540 	 -28.395103
-29.389370 	 -27.347485
-26.559189 	 -26.294621
-23.852512 	 -25.223389
-21.407072 	 -24.119968
-19.332472 	 -22.971273
-17.699579 	 -21.766361
-16.533718 	 -20.497639
-15.812329 	 -19.161709
-15.467309 	 -17.759846
-15.391810 	 -16.297989
-15.450847 	 -14.786297
-15.494641 	 -13.238276
-15.373430 	 -11.669600
-14.952271 	 -10.134705
-14.124391 	 -8.672765
-12.821786 	 -7.214079
-11.022028 	 -5.760690
-8.750603 	 -4.313428
-6.078569 	 -2.871956
-3.115750 	 -1.434947
-0.000131 	 -0.000361
